wd	ms	distance	reddening	obs_u	obs_g	obs_r	obs_i	model_u	model_g	model_r	model_i	E(B-V)	Iexcess	comp_spectype	avg_diff
K5	B8	1100.0	1.1	14.918	14.269	13.336	12.888	14.841	14.496	13.222	12.51	1.573	-0.088	-	0.199	
A0	F5	900.0	1.0	14.918	14.269	13.336	12.888	14.93	14.508	13.198	12.476	1.637	-0.147	-	0.2	
F5	A0	900.0	1.0	14.918	14.269	13.336	12.888	14.93	14.508	13.198	12.476	1.637	-0.147	-	0.2	
A0	G0	1000.0	0.9	14.918	14.269	13.336	12.888	14.706	14.422	13.221	12.566	1.522	-0.135	-	0.2	
G0	A0	1000.0	0.9	14.918	14.269	13.336	12.888	14.706	14.422	13.221	12.566	1.522	-0.135	-	0.2	
B8	K2	1100.0	1.1	14.918	14.269	13.336	12.888	14.84	14.494	13.219	12.506	1.574	-0.087	-	0.2	
K2	B8	1100.0	1.1	14.918	14.269	13.336	12.888	14.84	14.494	13.219	12.506	1.574	-0.087	-	0.2	
F0	K2	600.0	0.6	14.918	14.269	13.336	12.888	14.596	14.331	13.198	12.607	1.506	-0.241	-	0.201	
K2	F0	600.0	0.6	14.918	14.269	13.336	12.888	14.596	14.331	13.198	12.607	1.506	-0.241	-	0.201	
F5	F5	700.0	0.6	14.918	14.269	13.336	12.888	15.113	14.69	13.46	12.824	1.638	-0.315	-	0.201	
A0	K2	1300.0	0.8	14.918	14.269	13.336	12.888	14.802	14.651	13.561	12.973	1.411	-0.132	-	0.202	
K2	A0	1300.0	0.8	14.918	14.269	13.336	12.888	14.802	14.651	13.561	12.973	1.411	-0.132	-	0.202	
B8	F0	1300.0	1.0	14.918	14.269	13.336	12.888	14.677	14.432	13.236	12.573	1.489	-0.079	-	0.205	
F0	B8	1300.0	1.0	14.918	14.269	13.336	12.888	14.677	14.432	13.236	12.573	1.489	-0.079	-	0.205	
A0	K5	1300.0	0.8	14.918	14.269	13.336	12.888	14.804	14.655	13.568	12.982	1.409	-0.133	-	0.206	
K5	A0	1300.0	0.8	14.918	14.269	13.336	12.888	14.804	14.655	13.568	12.982	1.409	-0.133	-	0.206	
F0	K5	600.0	0.7	14.918	14.269	13.336	12.888	15.099	14.722	13.499	12.852	1.599	-0.247	-	0.208	
K5	F0	600.0	0.7	14.918	14.269	13.336	12.888	15.099	14.722	13.499	12.852	1.599	-0.247	-	0.208	
B8	G0	1100.0	1.1	14.918	14.269	13.336	12.888	14.836	14.484	13.203	12.485	1.578	-0.084	-	0.208	
G0	B8	1100.0	1.1	14.918	14.269	13.336	12.888	14.836	14.484	13.203	12.485	1.578	-0.084	-	0.208	
A0	M0	1300.0	0.8	14.918	14.269	13.336	12.888	14.805	14.657	13.571	12.986	1.408	-0.135	-	0.209	
M0	A0	1300.0	0.8	14.918	14.269	13.336	12.888	14.805	14.657	13.571	12.986	1.408	-0.135	-	0.209	
F5	F5	600.0	0.6	14.918	14.269	13.336	12.888	14.778	14.355	13.126	12.489	1.638	-0.315	-	0.209	
A0	F0	1200.0	0.8	14.918	14.269	13.336	12.888	14.524	14.34	13.225	12.625	1.439	-0.139	-	0.21	
F0	A0	1200.0	0.8	14.918	14.269	13.336	12.888	14.524	14.34	13.225	12.625	1.439	-0.139	-	0.21	
A0	M2	1300.0	0.8	14.918	14.269	13.336	12.888	14.805	14.657	13.573	12.989	1.408	-0.136	-	0.21	
M2	A0	1300.0	0.8	14.918	14.269	13.336	12.888	14.805	14.657	13.573	12.989	1.408	-0.136	-	0.21	
A0	A0	1200.0	1.0	14.918	14.269	13.336	12.888	14.849	14.456	13.173	12.467	1.613	-0.151	-	0.21	
A0	M4	1300.0	0.8	14.918	14.269	13.336	12.888	14.805	14.657	13.573	12.99	1.408	-0.137	-	0.21	
M4	A0	1300.0	0.8	14.918	14.269	13.336	12.888	14.805	14.657	13.573	12.99	1.408	-0.137	-	0.21	
F0	M0	700.0	0.6	14.918	14.269	13.336	12.888	14.953	14.705	13.589	13.007	1.492	-0.243	-	0.211	
M0	F0	700.0	0.6	14.918	14.269	13.336	12.888	14.953	14.705	13.589	13.007	1.492	-0.243	-	0.211	
F0	M0	600.0	0.7	14.918	14.269	13.336	12.888	15.104	14.733	13.517	12.874	1.594	-0.249	-	0.211	
M0	F0	600.0	0.7	14.918	14.269	13.336	12.888	15.104	14.733	13.517	12.874	1.594	-0.249	-	0.211	
A0	G0	1300.0	0.7	14.918	14.269	13.336	12.888	14.305	14.264	13.265	12.731	1.319	-0.124	-	0.212	
G0	A0	1300.0	0.7	14.918	14.269	13.336	12.888	14.305	14.264	13.265	12.731	1.319	-0.124	-	0.212	
F0	M2	600.0	0.7	14.918	14.269	13.336	12.888	15.105	14.738	13.527	12.889	1.591	-0.255	-	0.212	
M2	F0	600.0	0.7	14.918	14.269	13.336	12.888	15.105	14.738	13.527	12.889	1.591	-0.255	-	0.212	
A0	F0	1000.0	1.0	14.918	14.269	13.336	12.888	15.099	14.668	13.355	12.632	1.644	-0.155	-	0.214	
F0	A0	1000.0	1.0	14.918	14.269	13.336	12.888	15.099	14.668	13.355	12.632	1.644	-0.155	-	0.214	
F0	M4	600.0	0.7	14.918	14.269	13.336	12.888	15.106	14.739	13.53	12.894	1.59	-0.257	-	0.214	
M4	F0	600.0	0.7	14.918	14.269	13.336	12.888	15.106	14.739	13.53	12.894	1.59	-0.257	-	0.214	
F5	K5	600.0	0.5	14.918	14.269	13.336	12.888	15.03	14.711	13.561	12.97	1.55	-0.296	-	0.215	
K5	F5	600.0	0.5	14.918	14.269	13.336	12.888	15.03	14.711	13.561	12.97	1.55	-0.296	-	0.215	
F0	K2	800.0	0.5	14.918	14.269	13.336	12.888	14.735	14.591	13.56	13.029	1.405	-0.237	-	0.217	
K2	F0	800.0	0.5	14.918	14.269	13.336	12.888	14.735	14.591	13.56	13.029	1.405	-0.237	-	0.217	
F0	M2	700.0	0.6	14.918	14.269	13.336	12.888	14.955	14.71	13.599	13.022	1.489	-0.249	-	0.219	
M2	F0	700.0	0.6	14.918	14.269	13.336	12.888	14.955	14.71	13.599	13.022	1.489	-0.249	-	0.219	
F0	M4	700.0	0.6	14.918	14.269	13.336	12.888	14.955	14.711	13.602	13.026	1.489	-0.251	-	0.221	
M4	F0	700.0	0.6	14.918	14.269	13.336	12.888	14.955	14.711	13.602	13.026	1.489	-0.251	-	0.221	
A0	F5	1200.0	0.9	14.918	14.269	13.336	12.888	15.069	14.771	13.56	12.899	1.534	-0.138	-	0.222	
F5	A0	1200.0	0.9	14.918	14.269	13.336	12.888	15.069	14.771	13.56	12.899	1.534	-0.138	-	0.222	
B8	F5	1100.0	1.1	14.918	14.269	13.336	12.888	14.823	14.463	13.173	12.451	1.586	-0.084	-	0.222	
F5	B8	1100.0	1.1	14.918	14.269	13.336	12.888	14.823	14.463	13.173	12.451	1.586	-0.084	-	0.222	
A0	M4	1100.0	0.8	14.918	14.269	13.336	12.888	14.442	14.295	13.21	12.627	1.408	-0.137	-	0.222	
M4	A0	1100.0	0.8	14.918	14.269	13.336	12.888	14.442	14.295	13.21	12.627	1.408	-0.137	-	0.222	
A0	M2	1100.0	0.8	14.918	14.269	13.336	12.888	14.442	14.295	13.21	12.626	1.408	-0.136	-	0.222	
M2	A0	1100.0	0.8	14.918	14.269	13.336	12.888	14.442	14.295	13.21	12.626	1.408	-0.136	-	0.222	
A0	M0	1100.0	0.8	14.918	14.269	13.336	12.888	14.442	14.294	13.208	12.624	1.408	-0.135	-	0.223	
M0	A0	1100.0	0.8	14.918	14.269	13.336	12.888	14.442	14.294	13.208	12.624	1.408	-0.135	-	0.223	
B8	A0	1300.0	1.1	14.918	14.269	13.336	12.888	14.856	14.462	13.155	12.425	1.614	-0.106	-	0.225	
A0	B8	1300.0	1.1	14.918	14.269	13.336	12.888	14.856	14.462	13.155	12.425	1.614	-0.106	-	0.225	
A0	K5	1100.0	0.8	14.918	14.269	13.336	12.888	14.441	14.292	13.205	12.619	1.409	-0.133	-	0.225	
K5	A0	1100.0	0.8	14.918	14.269	13.336	12.888	14.441	14.292	13.205	12.619	1.409	-0.133	-	0.225	
